LIMIT_BAL,GENDER,MARRIAGE,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
340000,2,1,28,6780,3629,29052,50832,30272,11253,3629,29052,30000,5034,11253,86069,NO
200000,2,1,51,128208,131152,133976,136646,145147,142651,5000,5000,4888,10700,0,10100,YES
130000,2,2,26,7852,8871,9883,10079,10289,10495,1152,1164,360,372,376,540,YES
80000,2,1,30,69942,68219,75688,73563,43255,35852,0,8600,0,1600,1300,1300,YES
100000,2,1,31,75818,76887,78178,79858,74785,54849,2745,2939,3500,3000,1989,1987,NO
200000,2,1,51,0,1221,0,0,0,0,1221,0,0,0,0,0,NO
50000,2,1,45,2618,1969,20771,20231,19485,18280,2007,20275,1204,1001,1003,1210,NO
10000,1,2,21,6703,8422,9205,9393,4176,0,2000,1000,188,2538,0,0,NO
300000,2,1,40,2470,0,0,0,0,0,0,0,0,0,0,0,NO
180000,2,2,35,66376,67033,68862,71970,69843,67219,5000,4000,5000,3000,2700,3000,NO
50000,1,1,32,47974,43680,22133,12882,8131,3983,3000,2871,1000,163,3983,3771,YES
400000,2,1,37,14889,929,1191,11930,11286,5766,929,1191,11930,11286,5766,16520,NO
90000,2,2,33,55937,57107,59753,61755,63629,54423,2100,4000,3000,3000,2323,2000,NO
150000,1,1,48,144837,141815,143704,151572,149807,153088,0,5000,9500,0,5005,6010,YES
200000,2,2,41,2615,9855,11162,45607,23359,25713,9855,21162,45614,23359,25713,9884,NO
200000,1,1,41,51995,52442,46472,48692,50571,51756,4000,2000,3000,3000,2000,2000,YES
380000,2,1,56,0,1349,5947,16735,6444,0,1349,5957,16735,6444,0,7699,YES
100000,2,2,35,98118,99577,95736,98679,67007,67485,3500,4000,5700,2507,2500,3000,NO
500000,2,2,48,30252,47506,28171,26498,45212,35223,38009,28005,22000,33000,22000,10000,NO
360000,2,1,48,0,0,0,0,0,0,0,0,0,0,0,0,NO
380000,1,2,27,73903,66541,58665,43837,72069,61925,2924,2555,1515,37056,2413,1522,NO
140000,1,1,45,104144,106179,106947,107690,109821,107893,5200,4000,4000,4000,0,4100,YES
70000,2,2,25,2781,18180,3463,4256,4244,10032,18180,1500,3000,4244,10032,7329,NO
290000,1,1,36,170953,170747,171002,170795,170795,171003,546,1002,795,795,1003,998,NO
190000,1,1,31,158416,124910,95406,95313,48731,87197,6004,5148,5313,3000,40000,0,NO
170000,2,1,30,165637,173637,173490,165645,165605,163432,15600,7666,0,7792,6248,5910,YES
210000,2,1,36,124011,119970,68742,65557,65287,64428,5011,3000,3000,3000,3000,2500,NO
120000,2,1,30,686,686,686,1372,686,836,686,686,1372,0,836,686,NO
50000,2,2,28,46471,43507,44016,43396,41470,48676,1807,2016,1796,1570,10000,1778,NO
230000,2,2,30,754,-441,4410,0,711,5650,0,4851,0,711,5650,0,NO
90000,1,2,25,79938,67857,66929,67797,47739,48163,3000,3000,3000,3000,2000,2000,NO
10000,2,2,50,600,600,600,600,600,2050,0,0,0,0,1450,0,YES
20000,1,2,31,16509,19116,18028,18200,16844,18082,2906,0,1250,594,3000,819,YES
90000,2,1,28,24657,25743,26406,24364,19726,19166,1500,1500,1508,1000,1000,800,NO
320000,1,1,48,25840,13260,13217,17967,-13,-13,13326,13289,18064,0,0,0,NO
20000,1,2,41,16808,16741,14450,8796,5419,2377,1301,1000,8796,108,2377,15742,NO
500000,2,1,31,2181,5625,60201,45299,40940,16923,5700,60207,1000,838,4476,24236,NO
10000,1,1,41,6859,9751,9451,9169,10056,8559,3000,0,0,1002,0,500,NO
290000,2,2,26,20807,99860,100000,3015,23473,1448,80000,3000,3015,23473,1148,4900,NO
60000,1,2,41,14895,6750,5784,5246,3760,11411,6750,5784,5246,3760,11411,7435,NO
180000,2,1,37,165369,125084,119946,114977,88757,84936,4402,4971,4750,2997,3133,3180,NO
260000,2,1,40,243196,258720,178102,77215,79331,81483,20008,7500,3000,3500,3605,3750,NO
50000,2,1,53,40926,43236,45250,46003,44193,44838,3000,3000,1800,0,1500,2300,YES
30000,2,1,47,30567,58722,30077,29841,20075,12250,3778,1900,1019,26,1131,1209,NO
30000,2,1,47,24895,26476,28047,29767,30498,29890,2000,2000,2500,1500,0,1200,YES
20000,1,2,22,18306,18977,19328,19035,19262,12308,1287,1462,1522,1165,0,1000,NO
500000,1,1,38,499231,511629,-311,6391,420,7619,22600,501,6892,421,7695,8679,YES
10000,1,2,27,6743,9060,8768,9465,10212,10198,2600,0,1000,900,300,0,YES
240000,2,2,28,17868,188,2288,2100,405,1665,0,2100,405,0,1665,0,NO
130000,2,2,29,129094,125616,126531,127571,121365,125368,0,4500,4500,900,7200,4980,YES
20000,2,2,23,6218,6959,8635,8350,9063,8771,1000,1800,0,1000,0,1000,YES
500000,1,2,40,353356,320704,321094,317546,279250,239172,17000,11684,15000,8995,9457,10000,NO
210000,2,2,32,19959,1592,-2,560,6190,243,1603,0,562,6196,243,4061,NO
100000,2,2,43,51146,54716,58766,58950,56889,60255,5000,5500,2300,0,5000,5000,NO
50000,2,1,27,11231,6482,8799,8033,8933,7995,2000,5000,0,1000,1000,1000,NO
280000,2,1,51,258764,279451,280882,218619,201679,195934,25000,7500,0,6500,7000,6000,NO
120000,2,1,32,37981,36149,37179,38500,38955,39926,1586,1616,1937,1392,1596,1684,NO
50000,1,2,28,48431,45008,40226,41256,43962,44913,1700,2000,1700,3400,1800,0,NO
80000,2,1,50,67328,69356,73445,74645,73330,78032,3113,5850,3000,0,6103,0,YES
360000,2,1,59,0,0,0,0,0,0,0,0,0,0,0,0,YES
100000,1,1,46,100000,99774,102237,98452,99423,101548,4500,5000,4500,3800,3900,4000,YES
300000,2,1,34,56,0,849,0,0,112,0,849,0,0,112,550,NO
130000,1,2,28,92174,93991,54735,31682,0,0,4086,2635,1700,0,0,0,NO
50000,1,2,24,44687,39137,39877,28471,29309,28409,2138,44447,2202,2004,1202,1051,NO
80000,2,2,22,76405,77043,79524,75773,29126,8671,2780,3745,1628,596,173,2114,NO
130000,2,2,27,116186,111703,105091,100046,96090,90359,5500,4500,3500,6011,3200,4000,NO
310000,2,2,29,44592,40110,39805,36823,38987,32304,2000,1620,1332,2772,1500,1500,NO
500000,1,1,39,2514,810,8041,68595,72011,77931,810,8081,68595,72011,77931,3608,NO
260000,1,2,34,6776,3198,2123,11774,6166,3583,3222,2125,11892,6192,3601,3403,NO
140000,2,2,25,23409,24725,26006,26771,28179,29746,2000,2000,1500,2000,2200,2000,NO
50000,1,2,23,27101,26431,14109,9417,9952,9165,88,12,473,825,323,10000,NO
200000,2,1,41,2217,61328,2877,160944,156864,160066,61634,2877,160944,0,5900,13000,YES
480000,2,1,42,7245,0,0,0,790,0,0,0,0,790,0,0,NO
100000,1,2,27,33628,35760,0,33333,0,0,36066,156,33333,0,0,0,NO
60000,2,1,59,56998,59111,59595,58079,56892,55826,3601,2000,0,0,0,4000,NO
230000,2,2,37,-18,-18,-18,-18,-18,-18,18,0,0,0,0,0,YES
30000,2,1,36,7109,7963,9152,10282,10180,10394,1132,1321,1451,349,362,343,YES
120000,1,1,31,53672,56495,57455,58127,59367,60333,4300,2500,2200,2300,2114,1,YES
220000,1,2,29,223773,223304,221631,182629,165314,161971,8391,9000,6901,6000,6000,6435,NO
80000,2,2,29,49196,54033,52595,56709,55201,69270,6292,0,5000,0,15000,2600,NO
100000,2,2,28,29086,19091,17916,12233,6741,-24,1400,1506,1209,0,0,0,NO
160000,2,2,39,163058,161485,161076,156478,122441,120574,6001,6401,6384,4600,4800,4400,NO
230000,2,1,46,266,0,0,0,0,300,0,0,0,0,300,0,NO
180000,1,2,32,154374,153018,146396,136531,138502,136665,7500,7000,5000,5000,6000,5137,NO
50000,2,2,24,48600,47819,48527,39147,38314,37758,2200,1889,1510,1400,1700,2000,YES
20000,2,2,25,7561,8576,9621,10485,10700,10922,1144,1189,1053,268,277,358,YES
310000,2,1,40,69569,71437,71464,72299,50967,51153,3366,2400,2212,1985,2422,1407,NO
350000,2,1,36,28489,28934,20558,29866,37587,15307,28950,20565,29880,27697,5330,31990,NO
60000,2,1,39,29565,31123,34134,23552,24020,26615,3000,3638,0,1000,3000,0,YES
200000,2,2,27,157607,155693,155290,147604,146719,143317,7194,6760,5018,5370,5294,5300,NO
80000,2,2,29,0,0,1612,16388,0,0,0,1612,16415,0,0,1800,NO
140000,2,2,27,27750,28797,29840,31349,35687,36983,1500,1500,2000,5000,2000,5000,NO
150000,2,2,33,96066,98277,88202,48179,49426,50534,4400,4000,2000,2000,1900,1700,NO
80000,2,1,34,46461,47526,46466,48183,49057,51091,2100,0,2800,1800,3000,0,YES
20000,1,2,32,20450,17861,18967,19633,18187,18568,0,1700,1300,651,674,756,YES
220000,2,2,33,3217,11428,16838,22237,10684,4262,11435,16876,22237,10684,4262,6500,NO
70000,1,2,30,68971,69872,66932,69043,70252,55732,2700,3100,3900,2500,2500,2500,YES
180000,2,2,34,3700,4696,3763,-3,3667,1598,4696,3763,3,3670,1799,0,NO
360000,1,1,51,346225,353200,337593,341528,350949,355869,14562,13806,12303,15005,13729,7700,YES
240000,1,2,29,243774,242529,242079,243114,213930,219009,8891,12350,15969,7968,8700,17500,NO
